Norway,321.0,241.0,324.0,275.0,286.0,247.0,282.0,289.0,266.0,234.0,246.0,262.0,248.0,285.0,263.0,275.0,251.0,234.0,303.0,255.0,291.0,398.0,360.0,237.0,274.0,185.0,195.0,143.0,124.0,93.0,104.0,88.0,70.0,45.0,48.0,43.0,44.0,45.0
Poland,,289.0,229.0,212.0,199.0,202.0,204.0,255.0,279.0,247.0,227.0,285.0,261.0,247.0,244.0,214.0,241.0,290.0,231.0,277.0,324.0,294.0,310.0,292.0,235.0,253.0,179.0,175.0,185.0,211.0,199.0,213.0,155.0,,,,,
Portugal,,81.0,63.0,72.0,55.0,51.0,30.0,54.0,37.0,28.0,16.0,10.0,26.0,27.0,20.0,14.0,12.0,9.0,20.0,23.0,34.0,76.0,52.0,60.0,,,,,,,,,,,,,,
Romania,27.0,30.0,33.0,45.0,26.0,32.0,19.0,21.0,33.0,30.0,28.0,15.0,34.0,32.0,33.0,32.0,21.0,6.0,7.0,7.0,3.0,12.0,0.0,,,,,,,,,,,,,,,
Slovakia,,28.0,37.0,34.0,32.0,19.0,20.0,27.0,13.0,27.0,26.0,16.0,20.0,22.0,25.0,17.0,20.0,17.0,23.0,,,,,,,,,,,,,,,,,,,
Slovenia,66.0,65.0,70.0,74.0,59.0,47.0,40.0,32.0,28.0,28.0,26.0,24.0,25.0,28.0,36.0,42.0,26.0,36.0,25.0,22.0,26.0,21.0,19.0,23.0,19.0,13.0,,,,,,,,,,,,
Spain,,820.0,774.0,546.0,450.0,437.0,483.0,390.0,455.0,403.0,383.0,361.0,393.0,442.0,540.0,519.0,518.0,665.0,679.0,643.0,667.0,666.0,705.0,761.0,689.0,711.0,690.0,698.0,367.0,421.0,536.0,553.0,444.0,426.0,327.0,226.0,151.0,140.0
Sweden,519.0,450.0,533.0,555.0,583.0,643.0,605.0,675.0,632.0,481.0,429.0,373.0,371.0,350.0,320.0,310.0,235.0,245.0,225.0,258.0,203.0,204.0,194.0,157.0,138.0,133.0,122.0,70.0,86.0,83.0,66.0,62.0,62.0,56.0,55.0,70.0,,
Türkiye,246.0,270.0,314.0,342.0,657.0,941.0,920.0,590.0,497.0,232.0,162.0,105.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,4369.0,5364.0,6264.0,5797.0,5801.0,6503.0,6484.0,5970.0,5478.0,4936.0,4815.0,4843.0,5132.0,5038.0,5191.0,5066.0,4668.0,4920.0,4766.0,4437.0,4536.0,5680.0,6043.0,5456.0,5109.0,4933.0,5643.0,4914.0,4442.0,4357.0,5148.0,5219.0,4045.0,2845.0,2086.0,1539.0,1031.0,942.0
